id,label
10,cat
18,cat
22,cat
27,cat
34,cat
37,cat
39,cat
40,cat
60,cat
75,cat
79,cat
81,cat
92,cat
102,cat
142,cat
143,cat
151,cat
160,cat
170,cat
175,cat
198,cat
204,cat
208,cat
230,cat
242,cat
252,cat
254,cat
259,cat
267,cat
288,cat
315,cat
316,cat
332,cat
334,cat
335,cat
343,cat
368,cat
371,cat
378,cat
385,cat
396,cat
417,cat
446,cat
447,cat
477,cat
480,cat
495,cat
518,cat
549,cat
551,cat
584,cat
598,cat
604,cat
619,cat
630,cat
639,cat
640,cat
679,cat
685,cat
686,cat
692,cat
703,cat
718,cat
731,cat
741,cat
775,cat
777,cat
786,cat
789,cat
793,cat
802,cat
806,cat
807,cat
810,cat
846,cat
847,cat
851,cat
858,cat
862,cat
866,cat
870,cat
879,cat
883,cat
896,cat
923,cat
942,cat
950,cat
956,cat
970,cat
993,cat
996,cat
999,cat
1003,cat
1011,cat
1026,cat
1031,cat
1042,cat
1049,cat
1056,cat
1058,cat
1060,cat
1071,cat
1075,cat
1077,cat
1099,cat
1101,cat
1105,cat
1110,cat
1121,cat
1122,cat
1125,cat
1128,cat
1129,cat
1151,cat
1161,cat
1165,cat
1197,cat
1203,cat
1209,cat
1253,cat
1258,cat
1266,cat
1272,cat
1282,cat
1287,cat
1317,cat
1322,cat
1346,cat
1352,cat
1359,cat
1364,cat
1369,cat
1406,cat
1427,cat
1428,cat
1450,cat
1462,cat
1488,cat
1497,cat
1500,cat
1511,cat
1512,cat
1529,cat
1535,cat
1540,cat
1547,cat
1554,cat
1555,cat
1556,cat
1557,cat
1569,cat
1574,cat
1604,cat
1609,cat
1626,cat
1656,cat
1659,cat
1686,cat
1697,cat
1701,cat
1704,cat
1711,cat
1724,cat
1736,cat
1738,cat
1770,cat
1773,cat
1779,cat
1786,cat
1804,cat
1816,cat
1824,cat
1835,cat
1840,cat
1842,cat
1846,cat
1847,cat
1857,cat
1865,cat
1880,cat
1889,cat
1893,cat
1896,cat
1898,cat
1917,cat
1920,cat
1939,cat
1952,cat
1959,cat
1962,cat
1963,cat
1964,cat
1966,cat
1967,cat
1970,cat
2012,cat
2026,cat
2043,cat
2049,cat
2052,cat
2058,cat
2069,cat
2083,cat
2084,cat
2093,cat
2128,cat
2131,cat
2133,cat
2138,cat
2142,cat
2155,cat
2163,cat
2165,cat
2166,cat
2169,cat
2175,cat
2182,cat
2198,cat
2199,cat
2224,cat
2255,cat
2271,cat
2280,cat
2308,cat
2313,cat
2325,cat
2327,cat
2338,cat
2349,cat
2354,cat
2360,cat
2376,cat
2377,cat
2384,cat
2387,cat
2405,cat
2407,cat
2413,cat
2415,cat
2426,cat
2433,cat
2444,cat
2448,cat
2453,cat
2502,cat
2506,cat
2519,cat
2522,cat
2526,cat
2528,cat
2531,cat
2560,cat
2563,cat
2565,cat
2566,cat
2582,cat
2595,cat
2607,cat
2628,cat
2649,cat
2650,cat
2666,cat
2669,cat
2697,cat
2700,cat
2724,cat
2739,cat
2740,cat
2767,cat
2771,cat
2782,cat
2783,cat
2786,cat
2810,cat
2866,cat
2877,cat
2893,cat
2904,cat
2931,cat
2932,cat
2934,cat
2945,cat
2948,cat
2983,cat
2987,cat
3001,cat
3004,cat
3017,cat
3027,cat
3044,cat
3053,cat
3058,cat
3082,cat
3085,cat
3088,cat
3101,cat
3106,cat
3109,cat
3110,cat
3111,cat
3126,cat
3135,cat
3173,cat
3178,cat
3179,cat
3189,cat
3191,cat
3195,cat
3202,cat
3219,cat
3221,cat
3223,cat
3243,cat
3249,cat
3287,cat
3288,cat
3290,cat
3303,cat
3321,cat
3329,cat
3341,cat
3352,cat
3356,cat
3366,cat
3372,cat
3374,cat
3377,cat
3386,cat
3392,cat
3430,cat
3448,cat
3458,cat
3462,cat
3473,cat
3476,cat
3487,cat
3491,cat
3515,cat
3525,cat
3547,cat
3551,cat
3552,cat
3553,cat
3566,cat
3569,cat
3572,cat
3576,cat
3592,cat
3595,cat
3616,cat
3618,cat
3647,cat
3651,cat
3655,cat
3680,cat
3704,cat
3710,cat
3729,cat
3750,cat
3757,cat
3759,cat
3763,cat
3764,cat
3773,cat
3786,cat
3788,cat
3793,cat
3796,cat
3802,cat
3808,cat
3814,cat
3819,cat
3835,cat
3844,cat
3864,cat
3865,cat
3871,cat
3876,cat
3889,cat
3906,cat
3911,cat
3928,cat
3957,cat
3998,cat
4008,cat
4011,cat
4021,cat
4026,cat
4034,cat
4073,cat
4074,cat
4084,cat
4088,cat
4090,cat
4099,cat
4103,cat
4109,cat
4111,cat
4118,cat
4125,cat
4129,cat
4140,cat
4147,cat
4150,cat
4152,cat
4167,cat
4175,cat
4178,cat
4180,cat
4198,cat
4222,cat
4244,cat
4267,cat
4269,cat
4289,cat
4295,cat
4303,cat
4309,cat
4311,cat
4330,cat
4337,cat
4347,cat
4350,cat
4351,cat
4362,cat
4389,cat
4393,cat
4403,cat
4406,cat
4415,cat
4423,cat
4429,cat
4436,cat
4438,cat
4440,cat
4450,cat
4463,cat
4466,cat
4473,cat
4476,cat
4482,cat
4484,cat
4485,cat
4516,cat
4520,cat
4531,cat
4532,cat
4543,cat
4559,cat
4565,cat
4570,cat
4582,cat
4629,cat
4631,cat
4658,cat
4670,cat
4673,cat
4675,cat
4698,cat
4721,cat
4738,cat
4746,cat
4761,cat
4773,cat
4792,cat
4797,cat
4800,cat
4828,cat
4830,cat
4836,cat
4837,cat
4848,cat
4856,cat
4877,cat
4888,cat
4909,cat
4913,cat
4916,cat
4922,cat
4935,cat
4951,cat
4955,cat
4964,cat
4983,cat
4985,cat
4995,cat
5007,cat
5008,cat
5009,cat
5018,cat
5024,cat
5047,cat
